FIRST_TERM,COUNT,EXAMPLE,Preamble?,EXAMPLE_LOCATION
OM,3,OMRenderTargets,,projects/xbmc/lib/win32/Effects11/inc/d3dx11effect.h
hd,3,hdVideoPlayer,,projects/xbmc/xbmc/Autorun.cpp
pl,3,plItemUrl,,projects/xbmc/xbmc/Util.cpp
FD,3,FDEventCallback,,projects/xbmc/xbmc/cores/AudioEngine/Sinks/alsa/ALSAHControlMonitor.cpp
fl,3,flProtect,,projects/xbmc/xbmc/guilib/DirectXGraphics.cpp
ms,3,msNode,N,projects/xbmc/xbmc/guilib/GUIControlFactory.cpp
GP,3,GP_0,,projects/xbmc/xbmc/rendering/dx/DeviceResources.cpp
Err,3,ErrNonfatal,,projects/xbmc/xbmc/pictures/ExifParse.cpp
IS,3,IS_UDF,,projects/xbmc/xbmc/storage/cdioSupport.h
Linux,3,LinuxFxVersion,,projects/azure-functions-core-tools/src/Azure.Functions.Cli/Common/Constants.cs
Ci,3,Ci_Continuous_Integration,,projects/azure-functions-core-tools/src/Azure.Functions.Cli/Diagnostics/LoggingFilterHelper.cs
SW,3,SW_HIDE,,projects/PowerShell/src/Microsoft.PowerShell.ConsoleHost/WindowsTaskbarJumpList/TaskbarJumpList.cs
TR,3,TRtag,,projects/PowerShell/src/Microsoft.PowerShell.Commands.Utility/commands/utility/ConvertTo-Html.cs
mo,3,moSource,,projects/PowerShell/src/Microsoft.PowerShell.Commands.Utility/commands/utility/CustomSerialization.cs
sp,3,spDriver,,projects/PowerShell/src/System.Management.Automation/engine/remoting/server/ServerRunspacePoolDriver.cs
kw,3,kwAst,,projects/PowerShell/src/System.Management.Automation/DscSupport/CimDSCParser.cs
WT,3,WTHelperGetProvCertFromChain,,projects/PowerShell/src/System.Management.Automation/security/Win32Native/WinTrust.cs
SHORT,3,SHORT_AVG_NUMS,,projects/libgdx/extensions/gdx-box2d/gdx-box2d-gwt/src/com/badlogic/gdx/physics/box2d/gwt/emu/org/jbox2d/dynamics/Profile.java
CL,3,CL_SOLVER,,projects/libgdx/extensions/gdx-bullet/jni/swig-src/softbody/com/badlogic/gdx/physics/bullet/softbody/btSoftBodySolver.java
DST,3,DST_ALPHA,,projects/libgdx/backends/gdx-backends-gwt/src/com/google/gwt/webgl/client/WebGLRenderingContext.java
AMD,3,AMDGPUTargetModuleLinker,,projects/tensorflow/tensorflow/compiler/xla/service/gpu/llvm_gpu_backend/gpu_backend_lib.cc
sig,3,sigConversion,N,projects/tensorflow/tensorflow/compiler/xla/mlir_hlo/lib/Dialect/mhlo/transforms/hlo_legalize_to_lhlo.cc
